City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,sao joao da barra,-21.6403,-41.0511,24.05,82,97,5.07,BR,1675504686
330,kharp,66.8014,65.8081,-12.51,91,97,2.29,RU,1675504687
331,asfi,32.2994,-9.2372,15.24,36,0,0.31,MA,1675504687
332,saint-pierre,-21.3393,55.4781,28.82,74,75,11.32,RE,1675504688
333,alugan,12.2188,125.4808,25.82,87,80,6.84,PH,1675504689
334,nampula,-15.1165,39.2666,29.97,62,75,2.68,MZ,1675504689
335,selestat,48.2598,7.4565,7.3,93,100,2.06,FR,1675504690
336,dingli,35.8614,14.3822,14.09,72,20,6.17,MT,1675504690
337,moose factory,51.2585,-80.6094,-31.0,69,20,4.12,CA,1675504691
338,olden,61.8364,6.8064,0.41,79,100,5.11,NO,1675504691
339,tabou,4.423,-7.3528,28.19,76,9,2.03,CI,1675504692
340,capao da canoa,-29.7456,-50.0097,22.0,86,67,4.44,BR,1675504692
341,yandyki,45.7691,47.1258,1.76,65,11,2.21,RU,1675504693
342,gurupa,-1.405,-51.64,22.64,99,97,1.04,BR,1675504694
343,pangody,65.85,74.4859,-15.78,99,80,2.99,RU,1675504694
344,belmonte,-15.8631,-38.8828,25.75,84,8,2.48,BR,1675504695
345,manggar,-2.8833,108.2667,28.27,74,100,3.03,ID,1675504695
346,puerto madryn,-42.7692,-65.0385,21.7,59,0,4.07,AR,1675504696
347,itum-kale,42.7356,45.5758,6.02,26,71,1.71,RU,1675504696
348,beyneu,45.3167,55.2,1.18,91,99,4.39,KZ,1675504697
349,oblivskaya,48.5362,42.5014,-0.21,97,100,4.54,RU,1675504697
350,isangel,-19.55,169.2667,27.93,85,93,5.21,VU,1675504698
351,chibombo,-14.6569,28.0706,26.4,59,20,2.73,ZM,1675504698
352,vostok,46.4856,135.8833,-20.14,99,98,1.54,RU,1675504699
353,fairlie,55.756,-4.8556,9.66,84,100,3.58,GB,1675504699
354,fuling,29.7022,107.3919,12.73,63,100,1.46,CN,1675504700
355,mareeba,-17.0,145.4333,25.8,92,100,1.55,AU,1675504701
356,kapustin yar,48.5831,45.7372,-1.05,80,71,2.92,RU,1675504701
357,mamallapuram,12.6264,80.1722,30.03,61,0,6.77,IN,1675504702
358,sabha,27.0377,14.4283,17.18,27,100,7.11,LY,1675504601
359,unai,-16.3575,-46.9061,22.72,81,94,1.4,BR,1675504498
360,chegdomyn,51.1167,133.0167,-29.2,99,49,1.26,RU,1675504703
361,georgiyevka,43.0369,74.7114,3.02,93,75,5.0,KZ,1675504704
